"elementName", "elementContent", "typeAttributeIfPresent""
"persName", " I. McMillan ", "", "", "", "", "", "", "", ""
"persName", " Ignatius Traneker ", "", "", "", "", "", "", "", ""
"persName", " Isabel Render ", "", "", "", "", "", "", "", ""
"persName", " J Smith ", "", "", "", "", "", "", "", ""
"persName", " Jacob Borck ", "", "", "", "", "", "", "", ""
"persName", " James Boothroyd ", "", "", "", "", "", "", "", ""
"persName", " James Charlesworth ", "", "", "", "", "", "", "", ""
"persName", " James Cromark Crummack ", "", "", "", "", "", "", "", ""
"persName", " James Greening ", "", "", "", "", "", "", "", ""
"persName", " James Naylor ", "", "", "", "", "", "", "", ""
"persName", " James Oates ", "", "", "", "", "", "", "", ""
"persName", " James Peel ", "", "", "", "", "", "", "", ""
"persName", " James Ratcliffe ", "", "", "", "", "", "", "", ""
"persName", " James Wyring ", "", "", "", "", "", "", "", ""
"persName", " James Gottlieb La Trobe ", "", "", "", "", "", "", "", ""
"persName", " Jane Bryant Cennick ", "", "", "", "", "", "", "", ""
"persName", " Jane Dodgson Benade ", "", "", "", "", "", "", "", ""
"persName", " Jane Nisbet Nesbit ", "", "", "", "", "", "", "", ""
"persName", " Jane Stockwell Lambert ", "", "", "", "", "", "", "", ""
"persName", " Johan Fr. Gocht ", "", "", "", "", "", "", "", ""
"persName", " Johann John Nitschmann ", "", "", "", "", "", "", "", ""
"persName", " Johann John Teltschik Töltschig ", "", "", "", "", "", "", "", ""
"persName", " Johanna de Seydewir Molther ", "", "", "", "", "", "", "", ""
"persName", " Johanna Christina Kriegelstein ", "", "", "", "", "", "", "", ""
"persName", " Johanna Eleanora Gaertinor Benade ", "", "", "", "", "", "", "", ""
"persName", " Johannes John Beck Holm Holmes ", "", "", "", "", "", "", "", ""
"persName", " Johannes Steinhauer ", "", "", "", "", "", "", "", ""
"persName", " Johannes Michael Langguth von Watteville ", "", "", "", "", "", "", "", ""
"persName", " John Astley Ashley ", "", "", "", "", "", "", "", ""
"persName", " John Bentham Benton ", "", "", "", "", "", "", "", ""
"persName", " John Caldwell ", "", "", "", "", "", "", "", ""
"persName", " John Cennick ", "", "", "", "", "", "", "", ""
"persName", " John Clarke ", "", "", "", "", "", "", "", ""
"persName", " John Clough ", "", "", "", "", "", "", "", ""
"persName", " John Darnbrook ", "", "", "", "", "", "", "", ""
