Memoir, Tag Name, Attribute Name, Attribute Value, Tag Contents
haley_lydia,name,event,sacrament,Sacrament,
haley_lydia,name,event,sacrament,confirmed,
haley_lydia,name,event,sacrament,holy Sacrament,
haley_lydia,name,event,sacrament,Sacrament,
haley_lydia,name,event,sacrament,sacrament,
astley_john,name,occupation,shoemaker,Shoemaker,
astley_john,name,event,communion,communion,
astley_john,name,event,marriage,Married,
astley_john,name,office,steward,steward,
hinchcliffe_mary,name,event,death" when-iso="1770-08-29,went ,
hinchcliffe_mary,name,event,marriage" when-iso="1749,married,
hinchcliffe_mary,name,emotion,loving,loving,
hinchcliffe_mary,name,event,sacrament,Holy Sacrament,
hinchcliffe_mary,name,emotion,blessed,blessd,
hinchcliffe_mary,name,emotion,quiet,quiet,
hinchcliffe_mary,name,emotion,hearty,hearty,
hinchcliffe_mary,name,event,religious,Helpers Conference,
hinchcliffe_mary,name,emotion,love,Love,
hinchcliffe_mary,name,emotion,shame,Shames,
hinchcliffe_mary,name,event,ecclesiastical,Meetings,
hinchcliffe_mary,name,emotion,dejected,dejected,
hinchcliffe_mary,name,emotion,very heartily,very heartily,
hinchcliffe_mary,name,emotion,love,Love,
hinchcliffe_mary,name,emotion,love,Love,
hinchcliffe_mary,name,emotion,care and concern,care &amp; concern,
hinchcliffe_mary,name,emotion,complained,,
hinchcliffe_mary,name,event,death" when-iso="1770-08-29,gone,
hinchcliffe_mary,name,emotion,placidly,placidly,
hinchcliffe_mary,name,emotion,kind and affectionate,kind &amp; affectionate,
hinchcliffe_mary,name,emotion,real loss,real Loss,
hinchcliffe_mary,name,emotion,pleasure,Pleasure,
hinchcliffe_mary,name,emotion,loving compassionate heart,loving compassionate Heart,
horsfall_sarah,name,event,marriage,married,
horsfall_sarah,name,event,reception,received into the Congn,
fletcher_sarah,name,occupation,minister,Independant Minister,
fletcher_sarah,name,emotion,affectionate,affectionate,
fletcher_sarah,name,emotion,happy,happy,
fletcher_sarah,name,emotion,cheerful,cheerful,
fletcher_sarah,name,event,baptism,Adult baptism,
fletcher_sarah,name,event,sacrament,sacrament,
fletcher_sarah,name,emotion,enjoyment,enjoyed,
fletcher_sarah,name,emotion,blessing,blessing,
fletcher_sarah,name,emotion,rest,rest,
fletcher_sarah,name,emotion,grace,graciously,
fletcher_sarah,name,emotion,feeling,felt,
fletcher_sarah,name,office,warden,Warden of the ,
fletcher_sarah,name,emotion,feeling,felt,
fletcher_sarah,name,emotion,pleasure,pleasant,
fletcher_sarah,name,emotion,feeling,felt,
fletcher_sarah,name,emotion,heart,heart,
fletcher_sarah,name,emotion,love,Lovest,
fletcher_sarah,name,emotion,love,Lovest,
fletcher_sarah,name,emotion,heart,heart,
fletcher_sarah,name,emotion,love,love,
fletcher_sarah,name,emotion,love,love,
fletcher_sarah,name,emotion,love,love,
fletcher_sarah,name,emotion,love,beloved,
fletcher_sarah,name,emotion,love,love,
fletcher_sarah,name,emotion,love,love,
fletcher_sarah,name,emotion,love,love,
fletcher_sarah,name,emotion,heart,heart,
fletcher_sarah,name,emotion,guilt,weight of ,
fletcher_sarah,name,emotion,guilt,guilty,
fletcher_sarah,name,emotion,feeling,felt,
fletcher_sarah,name,emotion,comfort,comfort,
fletcher_sarah,name,emotion,distress,distressed,
fletcher_sarah,name,emotion,peace,he ,
fletcher_sarah,name,emotion,love,Beloved,
fletcher_sarah,name,emotion,love,beloved,
fletcher_sarah,name,emotion,feel,feel,
fletcher_sarah,name,emotion,concern,concern,
fletcher_sarah,name,emotion,trust,entrusted,
fletcher_sarah,name,emotion,pleasure,pleasure,
fletcher_sarah,name,emotion,heart,hearts,
fletcher_sarah,name,emotion,joy,joy,
fletcher_sarah,name,occupation,laborer,laborer,
fletcher_sarah,name,emotion,warm,warm,
fletcher_sarah,name,emotion,quiet,quietly,
fletcher_sarah,name,emotion,heart,hearts,
fletcher_sarah,name,emotion,lively,lively,
fletcher_sarah,name,emotion,love,love,
fletcher_sarah,name,emotion,heart,hearts,
fletcher_sarah,name,emotion,rest,rests,
fletcher_sarah,name,emotion,calm,calm,
fletcher_sarah,name,emotion,thankfulness,thanks,
fletcher_sarah,name,emotion,feeling,felt,
fletcher_sarah,name,emotion,comfort,comfort,
fletcher_sarah,name,emotion,trust,Trusting,
watson_martha,name,event,baptism,bap.,
watson_martha,name,event,reception,she obtained leave to live in the ,
watson_martha,name,event,reception,she was rec'd,
watson_martha,name,event,communion,Holy Communion,
anderson_anna_rosina,name,emotion,,desire to be happy,
anderson_anna_rosina,name,emotion,,make me ,
